"","model","v.RMSE","v.LNQ","v.MAE","v.WIS"
"1","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07 + log_ILIpS_lag_08 + log_ILIpS_lag_09 + log_ILIpS_lag_10 + log_ILIpS_lag_11 + log_ILIpS_lag_12 + log_ILIpS_lag_13 + log_ILIpS_lag_14 + log_ILIpS_lag_15 + log_ILIpS_lag_16 + log_ILIpS_lag_17-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq",3152.2883724161,0.779398459776064,2531.53420336007,1540.66581967003
"2","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + AH_lag_1 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq",3224.19416995285,0.765131712102073,2585.05054913147,1560.56208227307
"3","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07 + log_ILIpS_lag_08 + log_ILIpS_lag_09 + log_ILIpS_lag_10 + log_ILIpS_lag_11 + log_ILIpS_lag_12 + log_ILIpS_lag_13 + log_ILIpS_lag_14 + log_ILIpS_lag_15-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + AH_lag_1 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq",3164.81800973997,0.769707642177491,2524.88500863204,1541.47515819869
"4","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07 + log_ILIpS_lag_08 + log_ILIpS_lag_09 + log_ILIpS_lag_10 + log_ILIpS_lag_11 + log_ILIpS_lag_12 + log_ILIpS_lag_13 + log_ILIpS_lag_14 + log_ILIpS_lag_15-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + temp_lag_1 + ScHD_lag_1 + ScHD_lag_1_sq",3155.6300737479,0.775152362561618,2527.15215688803,1536.45353252155
"5","ARIMA (2,0,2)(0,0,0)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1",3633.36486074242,0.855651589471759,2837.76079108091,1891.51489496418
"6","ARIMA (2,0,2)(1,0,0)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1",3585.38267781155,0.837461269525735,2794.74300874989,1857.13502032778
"7","ARIMA (4,0,1)(0,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1",3179.17097870232,0.709581272468238,2493.62868806053,1655.41564555089
"8","ARIMA (2,0,2)(0,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1",3343.85602980683,0.745172703564414,2672.61495581406,1774.13822253087
"9","ARIMA (2,0,2)(1,0,0)+bs(12)+temp_lag_1+ScHD_lag_1+ScHD_lag_1_sq+AH_lag_1",3259.16198766254,0.720819448664493,2578.43700408306,1707.8275190665
