"","model","v.RMSE","v.LNQ","v.MAE","v.WIS"
"1","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07 + log_ILIpS_lag_08 + log_ILIpS_lag_09-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + temp_lag_1 + temp_lag_1_sq + ScHD_lag_1_Pow",16.4314549680704,0.669543087808225,12.8997385146533,8.01776747673404
"2","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + AH_lag_1_Pow + temp_lag_1 + temp_lag_1_sq",16.7749336188294,0.663353766940562,13.2015797590053,8.11160640904464
"3","log_ILIpS_lag_01 + log_ILIpS_lag_02 + log_ILIpS_lag_03 + log_ILIpS_lag_04 + log_ILIpS_lag_05 + log_ILIpS_lag_06 + log_ILIpS_lag_07 + log_ILIpS_lag_08 + log_ILIpS_lag_09-1 + t_lag_1_M_bs_01 + t_lag_1_M_bs_02 + t_lag_1_M_bs_03 + t_lag_1_M_bs_04 + t_lag_1_M_bs_05 + t_lag_1_M_bs_06 + t_lag_1_M_bs_07 + t_lag_1_M_bs_08 + t_lag_1_M_bs_09 + t_lag_1_M_bs_10 + t_lag_1_M_bs_11 + t_lag_1_M_bs_12 + AH_lag_1 + temp_lag_1 + temp_lag_1_sq + ScHD_lag_1",16.4440001468099,0.668254849690487,12.8664556871301,8.00883568598226
"4","ARIMA (2,1,0)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1",27.256070821648,0.855061522577524,23.5244846796116,20.2782910481219
"5","ARIMA (2,0,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1",17.5834478230155,0.634381908963514,13.9457507313479,9.15031599470768
"6","ARIMA (1,1,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1",31.4258413074143,0.881117590478028,27.2496558760632,24.4667777803718
"7","ARIMA (2,1,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1",30.3423018790467,0.86897421741384,26.3291858307612,24.171496280003
"8","ARIMA (2,0,1)(1,0,0)+bs(12)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1",15.5506856792553,0.660061581426922,12.2893345207481,7.93106334925857
