"model","v.WIS","v.RMSE","v.LNQ","v.MAE"
"4","4","4","4","4"
"ILI(10) + bs(12) + AH(Pow) + temp(Pow) + ScHD(1)","1 (6.1)","30 (10.7)","179 (0.4)","20 (9.4)"
"ILI(10) + bs(12) + AH(Pow) + temp(sq) + ScHD(Pow)","20 (6.1)","1 (10.6)","360 (0.4)","3 (9.3)"
"ILI(10) + bs(12) + AH(Pow) + ozone(Pow) + temp(Pow) + ScHD(Pow)","673 (6.4)","354 (11.1)","1 (0.4)","412 (9.9)"
"ILI(10) + bs(12) + AH(1) + temp(1) + ScHD(Pow)","12 (6.1)","4 (10.6)","107 (0.4)","1 (9.2)"
"13","13","13","13","13"
"ILI(9) + bs(12) + AH(1) + temp(sq) + ScHD(1)","1 (8.0)","4 (16.4)","49 (0.7)","1 (12.9)"
"ILI(9) + bs(12) +  + temp(sq) + ScHD(Pow)","3 (8.0)","1 (16.4)","84 (0.7)","2 (12.9)"
"ILI(7) + bs(12) + AH(Pow) + temp(sq)","106 (8.1)","159 (16.8)","1 (0.7)","179 (13.2)"
