"model","v.WIS","v.RMSE","v.LNQ","v.MAE"
"4","4","4","4","4"
"ILI(10) + bs(12) + AH_lag_1_Pow + temp_lag_1_Pow + ScHD_lag_1","1.000","1.011","1.011","1.012"
"ARIMA (2,0,1)(1,0,0)+bs(12)+AH_lag_1_Pow+ozone_lag_1_Pow+temp_lag_1_Pow+ScHD_lag_1","1.001","1.000","1.000","1.019"
"ILI(10) + bs(12) + AH_lag_1 + temp_lag_1 + ScHD_lag_1_Pow","1.004","1.002","1.009","1.000"
"ILI(10) + bs(12) + AH_lag_1_Pow + temp_lag_1 + temp_lag_1_sq + ScHD_lag_1_Pow","1.005","1.000","1.016","1.002"
"ILI(10) + bs(12) + AH_lag_1_Pow + ozone_lag_1_Pow + temp_lag_1_Pow + ScHD_lag_1_Pow","1.054","1.050","1.000","1.065"
"ARIMA (2,1,2)(1,0,0)+AH_lag_1_Pow+ozone_lag_1_Pow+temp_lag_1_Pow+ScHD_lag_1","1.388","1.273","1.141","1.294"
"ARIMA (2,1,0)(1,0,0)+AH_lag_1_Pow+ozone_lag_1_Pow+temp_lag_1_Pow+ScHD_lag_1","1.400","1.290","1.121","1.327"
"ARIMA (2,1,1)(1,0,0)+AH_lag_1_Pow+ozone_lag_1_Pow+temp_lag_1_Pow+ScHD_lag_1","1.453","1.345","1.112","1.375"
"ARIMA (1,1,1)(1,0,0)+AH_lag_1_Pow+ozone_lag_1_Pow+temp_lag_1_Pow+ScHD_lag_1","1.489","1.381","1.107","1.409"
"13","13","13","13","13"
"ARIMA (2,0,1)(1,0,0)+bs(12)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1","1.000","1.000","1.040","1.000"
"ILI(9) + bs(12) + AH_lag_1 + temp_lag_1 + temp_lag_1_sq + ScHD_lag_1","1.010","1.057","1.053","1.047"
"ILI(9) + bs(12) + temp_lag_1 + temp_lag_1_sq + ScHD_lag_1_Pow","1.011","1.057","1.055","1.050"
"ILI(7) + bs(12) + AH_lag_1_Pow + temp_lag_1 + temp_lag_1_sq","1.023","1.079","1.046","1.074"
"ARIMA (2,0,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1","1.154","1.131","1.000","1.135"
"ARIMA (2,1,0)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1","2.557","1.753","1.348","1.914"
"ARIMA (2,1,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1","3.048","1.951","1.370","2.142"
"ARIMA (1,1,1)(1,0,0)+temp_lag_1+temp_lag_1_sq+AH_lag_1+ScHD_lag_1","3.085","2.021","1.389","2.217"
