"WeekEnd","dec.date","Obs.Rt","CounterPI.Rt.1","ReducedCI.Rt.1","CounterPI.Rt.2","ReducedCI.Rt.2","CounterPI.Rt.3","ReducedCI.Rt.3","CounterPI.Rt.4","ReducedCI.Rt.4"
2020-01-04,2020.00819672131,"1.37 (1.35, 1.38)","1.22 (0.85, 1.65)","-14.16% (-23.98%, -6.93%)","1.19 (0.94, 1.47)","-13.03% (-18.88%, -7.63%)","1.36 (1.33, 1.39)","-0.96% (-1.10%, -0.68%)","1.36 (1.34, 1.37)","-0.85% (-0.86%, -0.84%)"
2020-01-11,2020.02732240437,"1.08 (1.07, 1.09)","1.19 (0.78, 1.74)","10.91% (3.47%, 19.04%)","1.19 (0.83, 1.60)","9.66% (4.33%, 16.65%)","1.15 (0.91, 1.42)","8.30% (4.99%, 10.16%)","1.17 (1.15, 1.19)","7.53% (7.29%, 7.79%)"
2020-01-18,2020.04644808743,"0.77 (0.77, 0.78)","1.12 (0.68, 1.69)","28.96% (21.45%, 36.04%)","1.18 (0.77, 1.69)","31.81% (24.92%, 36.99%)","1.08 (0.77, 1.45)","27.82% (22.23%, 32.68%)","1.01 (0.80, 1.24)","24.02% (21.14%, 26.49%)"
2020-01-25,2020.06557377049,"0.91 (0.89, 0.92)","1.04 (0.62, 1.65)","14.28% (6.50%, 22.38%)","1.05 (0.65, 1.57)","15.83% (9.34%, 20.12%)","1.04 (0.69, 1.48)","9.01% (-2.16%, 21.55%)","1.01 (0.72, 1.35)","10.14% (2.38%, 14.97%)"
2020-02-01,2020.08469945355,"0.87 (0.85, 0.88)","1.04 (0.59, 1.68)","15.36% (-4.14%, 24.42%)","1.00 (0.60, 1.57)","11.57% (4.34%, 21.18%)","1.02 (0.62, 1.53)","15.58% (4.35%, 22.13%)","1.01 (0.67, 1.45)","14.77% (7.19%, 21.87%)"
2020-02-08,2020.10382513661,"0.69 (0.67, 0.70)","1.04 (0.57, 1.73)","30.59% (23.72%, 35.87%)","0.99 (0.57, 1.62)","29.54% (20.90%, 35.01%)","0.99 (0.59, 1.55)","31.98% (24.51%, 37.58%)","1.01 (0.62, 1.52)","31.82% (23.51%, 38.19%)"
2020-02-15,2020.12295081967,"0.53 (0.50, 0.55)","1.02 (0.55, 1.75)","48.34% (41.01%, 55.97%)","0.96 (0.54, 1.62)","44.50% (38.30%, 50.79%)","0.98 (0.56, 1.61)","44.59% (38.57%, 51.88%)","1.00 (0.59, 1.58)","46.73% (39.47%, 53.29%)"
2020-02-22,2020.14207650273,"0.77 (0.72, 0.83)","1.03 (0.54, 1.83)","26.40% (20.90%, 36.44%)","1.02 (0.53, 1.74)","23.76% (14.20%, 29.51%)","1.02 (0.54, 1.71)","24.99% (12.58%, 33.46%)","0.99 (0.57, 1.61)","19.19% (8.14%, 30.14%)"
2020-02-29,2020.16120218579,"0.75 (0.68, 0.82)","1.01 (0.51, 1.80)","21.31% (0.63%, 35.22%)","1.02 (0.53, 1.78)","26.27% (12.38%, 37.47%)","1.01 (0.53, 1.72)","25.47% (10.88%, 40.06%)","1.01 (0.54, 1.71)","25.12% (11.40%, 35.78%)"
