"","V1","V2","V3","V4"
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","WIS","WIS","WIS","WIS"
"p","winter","winter","winter","winter"
"Inc.t","23February-29February","26January-01February","02February-08February","09February-15February"
"Inc","1.2 (0.1 - 3.6)","1.1 (0.2 - 2.6)","1.2 (0.2 - 2.8)","0.9 (0.2 - 2.3)"
"R.pk","40.9 (-1.5 - 58.3)","36.4 (6.7 - 51.8)","41.5 (13.9 - 55.7)","26.9 (-3.4 - 43.5)"
"Att","12.0 (7.8 - 17.4)","10.9 (7.3 - 15.2)","11.9 (8.3 - 16.5)","10.3 (7.4 - 13.8)"
"R.Att","75.7 (72.7 - 78.1)","73.2 (70.3 - 75.7)","75.5 (73.0 - 77.6)","71.9 (69.5 - 73.9)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","RMSE","RMSE","RMSE","RMSE"
"p","winter","winter","winter","winter"
"Inc.t","23February-29February","26January-01February","02February-08February","26January-01February"
"Inc","1.1 (0.1 - 3.4)","1.1 (0.2 - 2.7)","1.2 (0.2 - 2.8)","0.9 (0.3 - 1.9)"
"R.pk","38.6 (-6.9 - 57.0)","38.3 (9.1 - 53.3)","42.1 (14.8 - 56.2)","26.9 (6.6 - 39.9)"
"Att","11.6 (7.5 - 16.7)","11.1 (7.5 - 15.5)","11.9 (8.4 - 16.3)","10.3 (7.4 - 13.8)"
"R.Att","74.9 (71.7 - 77.5)","73.8 (70.8 - 76.2)","75.6 (73.1 - 77.7)","71.6 (69.2 - 73.7)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","LNQ","LNQ","LNQ","LNQ"
"p","winter","winter","winter","winter"
"Inc.t","23February-29February","26January-01February","02February-08February","16February-22February"
"Inc","1.2 (0.1 - 3.4)","1.3 (0.3 - 3.2)","1.1 (0.2 - 2.6)","0.9 (0.2 - 2.3)"
"R.pk","40.5 (2.7 - 57.2)","47.9 (23.3 - 60.6)","35.3 (9.5 - 49.6)","22.3 (-6.9 - 39.0)"
"Att","11.7 (7.6 - 16.9)","12.3 (8.3 - 17.4)","10.8 (7.5 - 14.8)","9.7 (7.0 - 13.0)"
"R.Att","75.1 (72.2 - 77.4)","76.4 (73.7 - 78.6)","73.0 (70.6 - 75.1)","69.9 (67.7 - 71.7)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","MAE","MAE","MAE","MAE"
"p","winter","winter","winter","winter"
"Inc.t","23February-29February","26January-01February","02February-08February","09February-15February"
"Inc","1.2 (0.1 - 3.5)","1.2 (0.3 - 3.0)","1.2 (0.3 - 2.9)","0.9 (0.2 - 2.2)"
"R.pk","40.7 (-1.6 - 58.1)","44.0 (16.9 - 57.8)","43.9 (17.7 - 57.5)","26.3 (-4.5 - 43.1)"
"Att","12.0 (7.9 - 17.2)","11.7 (7.9 - 16.5)","12.2 (8.5 - 16.8)","10.3 (7.5 - 13.8)"
"R.Att","75.8 (72.9 - 78.2)","75.2 (72.4 - 77.5)","76.2 (73.7 - 78.2)","71.8 (69.4 - 73.8)"
"NA.",,,,
