"","V1","V2","V3","V4"
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","WIS","WIS","WIS","WIS"
"p","winter","winter","winter","winter"
"Inc.t","26January-01February","26January-01February","09February-15February","16February-22February"
"Inc","0.9 (0.2 - 2.1)","1.5 (0.4 - 3.3)","1.4 (0.3 - 3.2)","1.1 (0.2 - 2.6)"
"R.pk","-3.8 (-60.1 - 23.2)","39.8 (9.8 - 54.8)","32.2 (-5.6 - 50.1)","15.3 (-20.9 - 34.9)"
"Att","9.2 (6.5 - 12.4)","12.4 (9.1 - 16.5)","12.9 (9.6 - 16.8)","11.1 (8.7 - 13.9)"
"R.Att","48.1 (42.5 - 52.7)","61.8 (57.6 - 65.3)","63.1 (59.3 - 66.3)","57.1 (53.9 - 59.9)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","RMSE","RMSE","RMSE","RMSE"
"p","winter","winter","winter","winter"
"Inc.t","26January-01February","26January-01February","09February-15February","09February-15February"
"Inc","0.9 (0.2 - 2.1)","1.3 (0.4 - 3.0)","1.3 (0.3 - 3.1)","1.2 (0.3 - 2.5)"
"R.pk","-6.3 (-65.7 - 21.8)","31.0 (-1.0 - 47.6)","31.0 (-8.0 - 49.3)","19.4 (-11.8 - 37.0)"
"Att","9.0 (6.4 - 12.2)","11.7 (8.6 - 15.6)","12.8 (9.6 - 16.7)","11.4 (8.9 - 14.4)"
"R.Att","47.5 (41.7 - 52.2)","59.5 (55.4 - 63.0)","62.8 (59.0 - 66.0)","58.2 (55.2 - 60.8)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","LNQ","LNQ","LNQ","LNQ"
"p","winter","winter","winter","winter"
"Inc.t","26January-01February","26January-01February","09February-15February","09February-15February"
"Inc","0.9 (0.2 - 2.1)","1.4 (0.4 - 3.1)","1.5 (0.3 - 3.7)","1.1 (0.3 - 2.4)"
"R.pk","-1.5 (-46.8 - 22.4)","33.3 (9.8 - 47.0)","38.6 (5.9 - 54.4)","16.8 (-10.6 - 33.3)"
"Att","8.9 (6.3 - 12.0)","12.3 (9.0 - 16.4)","13.8 (10.3 - 18.0)","11.1 (8.7 - 13.9)"
"R.Att","46.8 (41.8 - 51.0)","61.4 (57.9 - 64.4)","65.5 (62.3 - 68.2)","57.1 (54.2 - 59.7)"
"NA.",,,,
"stdt","2020-01-01","2020-01-08","2020-01-15","2020-01-22"
"model","MAE","MAE","MAE","MAE"
"p","winter","winter","winter","winter"
"Inc.t","26January-01February","26January-01February","09February-15February","16February-22February"
"Inc","0.9 (0.2 - 2.1)","1.5 (0.4 - 3.3)","1.4 (0.3 - 3.2)","1.1 (0.2 - 2.6)"
"R.pk","-3.8 (-60.1 - 23.2)","39.8 (9.8 - 54.8)","32.2 (-5.6 - 50.1)","15.3 (-20.9 - 34.9)"
"Att","9.2 (6.5 - 12.4)","12.4 (9.1 - 16.5)","12.9 (9.6 - 16.8)","11.1 (8.7 - 13.9)"
"R.Att","48.1 (42.5 - 52.7)","61.8 (57.6 - 65.3)","63.1 (59.3 - 66.3)","57.1 (53.9 - 59.9)"
"NA.",,,,
